v1	V(v_out)
Step Information: Run=1  (Run: 1/500)
2.500000000000000e-001	9.369796e-002
3.000000000000000e-001	1.124375e-001
3.500000000000000e-001	1.311771e-001
4.000000000000000e-001	1.499167e-001
4.500000000000000e-001	1.686563e-001
4.999999999999999e-001	1.873959e-001
5.499999999999999e-001	2.061355e-001
6.000000000000000e-001	2.248751e-001
6.500000000000000e-001	2.436147e-001
7.000000000000001e-001	2.623543e-001
7.500000000000001e-001	2.810939e-001
8.000000000000002e-001	2.998334e-001
8.500000000000002e-001	3.185731e-001
9.000000000000002e-001	3.373126e-001
9.500000000000003e-001	3.560522e-001
1.000000000000000e+000	3.747918e-001
Step Information: Run=13  (Run: 13/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.874723e-002
1.000000000000000e-001	3.749445e-002
1.500000000000000e-001	5.624168e-002
2.000000000000000e-001	7.498891e-002
2.500000000000000e-001	9.373613e-002
3.000000000000000e-001	1.124834e-001
3.500000000000000e-001	1.312306e-001
4.000000000000000e-001	1.499778e-001
4.500000000000000e-001	1.687250e-001
4.999999999999999e-001	1.874723e-001
5.499999999999999e-001	2.062195e-001
6.000000000000000e-001	2.249667e-001
6.500000000000000e-001	2.437140e-001
7.000000000000001e-001	2.624612e-001
7.500000000000001e-001	2.812084e-001
8.000000000000002e-001	2.999556e-001
8.500000000000002e-001	3.187029e-001
9.000000000000002e-001	3.374501e-001
9.500000000000003e-001	3.561973e-001
1.000000000000000e+000	3.749445e-001
Step Information: Run=14  (Run: 14/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.873255e-002
1.000000000000000e-001	3.746511e-002
1.500000000000000e-001	5.619766e-002
2.000000000000000e-001	7.493021e-002
2.500000000000000e-001	9.366276e-002
3.000000000000000e-001	1.123953e-001
3.500000000000000e-001	1.311279e-001
4.000000000000000e-001	1.498604e-001
4.500000000000000e-001	1.685930e-001
4.999999999999999e-001	1.873255e-001
5.499999999999999e-001	2.060581e-001
6.000000000000000e-001	2.247906e-001
