v1	I(V2)	I(V3)	I(V4)	I(V5)
Step Information: Run=1  (Run: 1/500)
6.660000000000000e-001	6.659934e-005	3.331055e-005	1.664202e-005	8.321250e-006
9.990000000000001e-001	9.989901e-005	4.996582e-005	2.496303e-005	1.248188e-005
1.000000000000000e+000	9.999901e-005	5.001583e-005	2.498802e-005	1.249437e-005
Step Information: Run=15  (Run: 15/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.325179e-005	1.668009e-005	8.342801e-006	4.151809e-006
6.660000000000000e-001	6.650358e-005	3.336019e-005	1.668560e-005	8.303618e-006
9.990000000000001e-001	9.975537e-005	5.004027e-005	2.502840e-005	1.245543e-005
1.000000000000000e+000	9.985523e-005	5.009037e-005	2.505346e-005	1.246790e-005
Step Information: Run=16  (Run: 16/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.324613e-005	1.664442e-005	8.331102e-006	4.161132e-006
6.660000000000000e-001	6.649226e-005	3.328885e-005	1.666220e-005	8.322263e-006
9.990000000000001e-001	9.973839e-005	4.993327e-005	2.499331e-005	1.248339e-005
1.000000000000000e+000	9.983823e-005	4.998326e-005	2.501832e-005	1.249589e-005
Step Information: Run=17  (Run: 17/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.335584e-005	1.661378e-005	8.327645e-006	4.156590e-006
6.660000000000000e-001	6.671168e-005	3.322756e-005	1.665529e-005	8.313180e-006
9.990000000000001e-001	1.000675e-004	4.984135e-005	2.498293e-005	1.246977e-005
1.000000000000000e+000	1.001677e-004	4.989124e-005	2.500794e-005	1.248225e-005
Step Information: Run=18  (Run: 18/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.342067e-005	1.664990e-005	8.344380e-006	4.178480e-006
6.660000000000000e-001	6.684134e-005	3.329981e-005	1.668876e-005	8.356960e-006
9.990000000000001e-001	1.002620e-004	4.994971e-005	2.503314e-005	1.253544e-005
1.000000000000000e+000	1.003624e-004	4.999971e-005	2.505820e-005	1.254799e-005
Step Information: Run=19  (Run: 19/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.329238e-005	1.670518e-005	8.332922e-006	4.168810e-006
6.660000000000000e-001	6.658476e-005	3.341035e-005	1.666584e-005	8.337621e-006
9.990000000000001e-001	9.987714e-005	5.011553e-005	2.499877e-005	1.250643e-005
1.000000000000000e+000	9.997712e-005	5.016569e-005	2.502379e-005	1.251895e-005
Step Information: Run=20  (Run: 20/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.329214e-005	1.664586e-005	8.342889e-006	4.167008e-006
6.660000000000000e-001	6.658428e-005	3.329173e-005	1.668578e-005	8.334016e-006
9.990000000000001e-001	9.987642e-005	4.993759e-005	2.502866e-005	1.250102e-005
1.000000000000000e+000	9.997639e-005	4.998758e-005	2.505372e-005	1.251354e-005
Step Information: Run=21  (Run: 21/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.320303e-005	1.666743e-005	8.347782e-006	4.162229e-006
6.660000000000000e-001	6.640606e-005	3.333485e-005	1.669556e-005	8.324458e-006
9.990000000000001e-001	9.960909e-005	5.000228e-005	2.504334e-005	1.248669e-005
1.000000000000000e+000	9.970880e-005	5.005233e-005	2.506841e-005	1.249919e-005
Step Information: Run=22  (Run: 22/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.318864e-005	1.669692e-005	8.303288e-006	4.154928e-006
6.660000000000000e-001	6.637728e-005	3.339383e-005	1.660658e-005	8.309856e-006
