v1	IdIV
2.800000000000000e-001	5.028389e-010
2.850000000000000e-001	6.100764e-010
2.900000000000000e-001	7.401846e-010
2.950000000000000e-001	8.980394e-010
3.000000000000000e-001	1.089558e-009
3.050000000000001e-001	1.321920e-009
3.100000000000001e-001	1.603836e-009
3.150000000000001e-001	1.945874e-009
3.200000000000001e-001	2.360855e-009
3.250000000000001e-001	2.864335e-009
3.300000000000001e-001	3.475189e-009
3.350000000000001e-001	4.216314e-009
3.400000000000001e-001	5.115491e-009
3.450000000000001e-001	6.206427e-009
3.500000000000001e-001	7.530017e-009
3.550000000000001e-001	9.135880e-009
3.600000000000001e-001	1.108421e-008
3.650000000000001e-001	1.344804e-008
3.700000000000001e-001	1.631598e-008
3.750000000000001e-001	1.979555e-008
3.800000000000001e-001	2.401717e-008
3.850000000000001e-001	2.913909e-008
3.900000000000001e-001	3.535333e-008
3.950000000000001e-001	4.289281e-008
4.000000000000001e-001	5.204017e-008
4.050000000000001e-001	6.313831e-008
4.100000000000001e-001	7.660324e-008
4.150000000000002e-001	9.293971e-008
4.200000000000002e-001	1.127601e-007
4.250000000000002e-001	1.368074e-007
4.300000000000002e-001	1.659831e-007
4.350000000000002e-001	2.013807e-007
4.400000000000002e-001	2.443273e-007
4.450000000000002e-001	2.964326e-007
4.500000000000002e-001	3.596499e-007
4.550000000000002e-001	4.363490e-007
4.600000000000002e-001	5.294047e-007
4.650000000000002e-001	6.423055e-007
4.700000000000002e-001	7.792832e-007
4.750000000000002e-001	9.454726e-007
4.800000000000002e-001	1.147103e-006
4.850000000000002e-001	1.391732e-006
4.900000000000002e-001	1.688530e-006
4.950000000000002e-001	2.048621e-006
5.000000000000002e-001	2.485502e-006
5.050000000000002e-001	3.015548e-006
5.100000000000002e-001	3.658626e-006
5.150000000000002e-001	4.438838e-006
5.200000000000002e-001	5.385423e-006
5.250000000000002e-001	6.533856e-006
5.300000000000003e-001	7.927174e-006
5.350000000000003e-001	9.617585e-006
5.400000000000003e-001	1.166843e-005
5.450000000000003e-001	1.415653e-005
5.500000000000003e-001	1.717510e-005
5.550000000000003e-001	2.083720e-005
5.600000000000003e-001	2.527995e-005
5.650000000000003e-001	3.066970e-005
5.700000000000003e-001	3.720817e-005
5.750000000000003e-001	4.514002e-005
5.800000000000003e-001	5.476191e-005
5.850000000000003e-001	6.643354e-005
5.900000000000003e-001	8.059100e-005
5.950000000000003e-001	9.776288e-005
6.000000000000003e-001	1.185898e-004
6.050000000000003e-001	1.438478e-004
6.100000000000003e-001	1.744770e-004
6.150000000000003e-001	2.116158e-004
6.200000000000003e-001	2.566416e-004
6.250000000000003e-001	3.112211e-004
6.300000000000003e-001	3.773686e-004
6.350000000000003e-001	4.575180e-004
6.400000000000004e-001	5.546060e-004
6.450000000000004e-001	6.721734e-004
6.500000000000004e-001	8.144823e-004
6.550000000000004e-001	9.866558e-004
6.600000000000004e-001	1.194839e-003
6.650000000000004e-001	1.446386e-003
6.700000000000004e-001	1.750071e-003
6.750000000000004e-001	2.116329e-003
6.800000000000004e-001	2.557515e-003
6.850000000000004e-001	3.088188e-003
6.900000000000004e-001	3.725400e-003
6.950000000000004e-001	4.488979e-003
7.000000000000004e-001	5.401791e-003
7.050000000000004e-001	6.489932e-003
7.100000000000004e-001	7.782833e-003
7.150000000000004e-001	9.313223e-003
7.200000000000000e-001	1.111689e-002
